               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051071,            0.013886,            0.024066,             0.35299,             0.31715,             0.30888,             0.14004,            0.052861,           0.0073239,            0.024646,            0.070147,            0.003317,            0.003317
                   1,            0.052852,            0.014469,            0.024496,             0.32892,              0.3219,             0.30757,             0.13818,            0.053455,            0.007872,            0.024606,            0.040015,           0.0065187,           0.0065187
                   2,            0.053961,            0.015179,            0.024317,             0.32389,             0.21806,             0.19423,            0.090257,            0.058168,           0.0089027,            0.027818,           0.0097517,           0.0095883,           0.0095883
                   3,            0.055411,             0.01543,            0.024933,             0.41993,             0.26443,             0.26828,             0.11009,            0.056219,           0.0077434,            0.026327,            0.009406,            0.009406,            0.009406
                   4,            0.054991,            0.015463,            0.024349,             0.37494,             0.21035,             0.21993,            0.094278,            0.056945,           0.0085941,             0.02554,            0.009406,            0.009406,            0.009406
                   5,            0.054816,            0.015055,            0.025211,             0.37848,             0.26661,             0.25654,             0.11056,            0.057474,           0.0079395,            0.027495,            0.009208,            0.009208,            0.009208
                   6,            0.054078,            0.014943,            0.024571,             0.43867,             0.24598,             0.29319,             0.12421,            0.054689,           0.0075493,            0.025835,             0.00901,             0.00901,             0.00901
                   7,            0.054039,            0.014636,            0.024593,             0.32133,             0.21741,             0.22393,            0.092979,            0.057628,           0.0081763,            0.026361,            0.008812,            0.008812,            0.008812
                   8,            0.052927,            0.015264,            0.023595,             0.34784,              0.1075,             0.12259,            0.056737,            0.071141,            0.010647,            0.034936,            0.008614,            0.008614,            0.008614
                   9,            0.053511,            0.014973,            0.023506,             0.39579,             0.25032,             0.25351,             0.10265,            0.057489,           0.0079752,            0.026303,            0.008416,            0.008416,            0.008416
                  10,            0.053768,            0.014963,            0.023507,             0.33205,             0.26117,              0.2558,             0.10712,            0.056227,           0.0080249,            0.025582,            0.008218,            0.008218,            0.008218
                  11,            0.053037,            0.014467,            0.023387,             0.33028,             0.24522,              0.2096,            0.092334,            0.058479,           0.0092461,            0.027195,             0.00802,             0.00802,             0.00802
                  12,            0.052403,            0.014263,            0.023151,             0.39201,             0.28518,             0.28628,             0.12565,             0.05466,           0.0075134,            0.025381,            0.007822,            0.007822,            0.007822
                  13,             0.05304,            0.014891,            0.023463,             0.36213,             0.24522,             0.28115,             0.12633,            0.054548,           0.0078345,            0.026414,            0.007624,            0.007624,            0.007624
                  14,            0.052582,             0.01499,            0.023439,             0.36434,             0.25652,             0.25183,             0.10935,            0.056871,           0.0080424,            0.027359,            0.007426,            0.007426,            0.007426
                  15,               0.052,            0.014494,            0.022948,             0.42294,             0.27574,             0.29322,             0.13412,            0.055547,           0.0078972,            0.026054,            0.007228,            0.007228,            0.007228
                  16,            0.051043,            0.014397,            0.021739,             0.44257,             0.28101,             0.29502,             0.12963,            0.053613,           0.0074674,            0.024319,             0.00703,             0.00703,             0.00703
                  17,            0.050864,            0.014129,            0.021959,             0.35343,             0.27796,             0.29064,             0.12449,            0.054494,           0.0075332,            0.025992,            0.006832,            0.006832,            0.006832
                  18,            0.051358,            0.014237,            0.023086,             0.40418,             0.31212,              0.2931,             0.13626,            0.056223,           0.0077104,            0.024383,            0.006634,            0.006634,            0.006634
                  19,            0.049851,             0.01386,            0.021515,             0.43254,             0.25848,             0.27347,             0.12313,            0.056429,           0.0077287,            0.025958,            0.006436,            0.006436,            0.006436
                  20,            0.050435,            0.013969,            0.022229,              0.3661,             0.27772,             0.29585,              0.1309,            0.053275,           0.0075374,            0.025598,            0.006238,            0.006238,            0.006238
                  21,            0.050014,            0.014031,            0.021571,             0.30991,             0.29491,             0.27011,             0.12916,            0.053979,           0.0078581,            0.025743,             0.00604,             0.00604,             0.00604
                  22,            0.050315,            0.013988,            0.021422,             0.44657,             0.27878,             0.29273,             0.12643,            0.053837,           0.0075186,             0.02441,            0.005842,            0.005842,            0.005842
                  23,            0.049402,            0.014068,            0.021378,             0.35586,             0.27056,             0.30292,             0.12847,            0.053597,            0.007534,            0.025441,            0.005644,            0.005644,            0.005644
                  24,            0.049793,            0.014745,            0.021505,             0.46615,             0.28948,             0.30969,             0.14059,            0.053448,           0.0076601,            0.024364,            0.005446,            0.005446,            0.005446
                  25,            0.048754,            0.013393,            0.020123,             0.32313,             0.29668,             0.28751,             0.12287,            0.054811,           0.0077015,             0.02508,            0.005248,            0.005248,            0.005248
                  26,             0.04935,            0.013706,            0.021334,             0.36498,             0.28972,             0.29924,             0.13998,            0.053528,           0.0075056,            0.023719,             0.00505,             0.00505,             0.00505
                  27,            0.048744,            0.013823,            0.020798,             0.50831,             0.29929,             0.32069,             0.14175,            0.052411,             0.00735,            0.023847,            0.004852,            0.004852,            0.004852
                  28,            0.048702,            0.013175,            0.021223,              0.4165,             0.31793,             0.32699,             0.14502,            0.052265,           0.0074226,             0.02336,            0.004654,            0.004654,            0.004654
                  29,            0.047966,            0.013842,            0.020753,             0.36001,             0.33179,              0.3437,             0.15737,            0.051442,           0.0071735,            0.023855,            0.004456,            0.004456,            0.004456
                  30,            0.048611,            0.013554,            0.020768,             0.40353,             0.28491,             0.31018,             0.13552,            0.052762,           0.0073652,            0.023534,            0.004258,            0.004258,            0.004258
                  31,            0.047559,            0.013117,            0.020223,             0.39207,             0.32002,             0.29131,             0.13736,            0.052225,           0.0075174,            0.023797,             0.00406,             0.00406,             0.00406
                  32,            0.047089,            0.013279,            0.019829,             0.32524,             0.29432,             0.29717,             0.13699,            0.051047,           0.0072868,            0.023709,            0.003862,            0.003862,            0.003862
                  33,            0.047687,            0.013206,            0.020468,             0.39569,             0.29814,             0.29963,             0.14142,            0.051533,            0.007359,            0.024479,            0.003664,            0.003664,            0.003664
                  34,            0.046685,            0.013522,            0.019898,              0.3767,             0.28903,             0.31661,             0.13879,            0.052144,           0.0074207,            0.024879,            0.003466,            0.003466,            0.003466
                  35,            0.047285,            0.013289,            0.020866,             0.39893,             0.29996,             0.31546,             0.14071,            0.052273,           0.0074348,            0.023537,            0.003268,            0.003268,            0.003268
                  36,            0.046262,            0.013567,            0.019431,             0.42099,             0.27533,             0.32115,             0.14581,            0.051807,           0.0074463,            0.024236,             0.00307,             0.00307,             0.00307
                  37,            0.046307,            0.013362,            0.018324,              0.3505,             0.30733,             0.29355,             0.14073,            0.051626,            0.007276,            0.024209,            0.002872,            0.002872,            0.002872
                  38,            0.045126,            0.012788,            0.018928,             0.42766,             0.28415,             0.29804,             0.13635,            0.051454,           0.0073837,             0.02363,            0.002674,            0.002674,            0.002674
                  39,            0.044963,            0.012808,            0.019075,             0.45837,             0.30017,             0.32114,             0.14674,            0.051106,           0.0071841,            0.023771,            0.002476,            0.002476,            0.002476
                  40,            0.045435,            0.013002,            0.018984,             0.31811,             0.29924,             0.29874,             0.14448,            0.050949,           0.0074257,            0.023721,            0.002278,            0.002278,            0.002278
                  41,            0.044557,            0.013299,            0.018491,             0.42916,             0.30551,             0.32425,             0.14512,            0.050839,           0.0072226,            0.024024,             0.00208,             0.00208,             0.00208
                  42,            0.044247,            0.012643,             0.01755,             0.55543,              0.2713,             0.33605,             0.16097,            0.050972,           0.0074968,            0.023563,            0.001882,            0.001882,            0.001882
                  43,            0.044835,             0.01289,            0.018022,             0.39465,             0.27988,             0.31535,               0.145,            0.051156,           0.0074571,            0.023875,            0.001684,            0.001684,            0.001684
                  44,             0.04439,            0.012638,            0.018336,             0.40574,             0.30424,             0.31515,             0.14857,            0.051244,           0.0073935,            0.024034,            0.001486,            0.001486,            0.001486
                  45,            0.044034,            0.012961,             0.01796,             0.43748,             0.29296,             0.30919,             0.14763,            0.051448,           0.0073062,            0.024186,            0.001288,            0.001288,            0.001288
                  46,            0.044042,            0.012611,            0.018152,             0.49179,             0.29498,             0.30172,             0.14131,            0.051409,           0.0072854,            0.024143,             0.00109,             0.00109,             0.00109
                  47,            0.043646,            0.012555,             0.01796,             0.36299,             0.29609,             0.29485,             0.13732,            0.051198,           0.0073849,            0.024025,            0.000892,            0.000892,            0.000892
                  48,             0.04316,            0.012471,            0.018025,             0.34483,             0.29808,             0.30373,              0.1402,            0.051058,           0.0073917,            0.024237,            0.000694,            0.000694,            0.000694
                  49,            0.042843,            0.012177,            0.017108,             0.35815,              0.3048,             0.29904,             0.14076,            0.051039,           0.0073635,            0.024233,            0.000496,            0.000496,            0.000496
